block_id,accept_brand,run_date,bs_level,bs_id,file_id,member_id,label,counts,recon_amount,recon_sign,fee_amount,fee_sign
2,DMC                          CLEARING CYCLE 004 - ACKNOWLEDGEMENT                              PAGE NO:         1,02/20/25,INTERREGIONAL,060101,002/250219/00000008376/00000,00000008376,FIRST PRES.  PURCHASE   ORIG YA,27.0,5965.94,CR,97.01,
2,DMC                          CLEARING CYCLE 004 - ACKNOWLEDGEMENT                              PAGE NO:         1,02/20/25,INTERREGIONAL,060101,002/250219/00000008376/00000,00000008376,PURCHASE   ORIG YB,3.0,354.93,CR,6.69,
2,DMC                          CLEARING CYCLE 004 - ACKNOWLEDGEMENT                              PAGE NO:         1,02/20/25,INTERREGIONAL,060101,002/250219/00000008376/00000,00000008376,PURCHASE   ORIG YD       1,164.0,7283.45,CR,81.1,
2,DMC                          CLEARING CYCLE 004 - ACKNOWLEDGEMENT                              PAGE NO:         1,02/20/25,INTERREGIONAL,060101,002/250219/00000008376/00000,00000008376,PURCHASE   ORIG YE,4.0,624.15,CR,11.76,
2,DMC                          CLEARING CYCLE 004 - ACKNOWLEDGEMENT                              PAGE NO:         1,02/20/25,INTERREGIONAL,060101,002/250219/00000008376/00000,00000008376,PURCHASE   ORIG YG,3.0,119.07,CR,1.93,
2,DMC                          CLEARING CYCLE 004 - ACKNOWLEDGEMENT                              PAGE NO:         1,02/20/25,INTERREGIONAL,060101,002/250219/00000008376/00000,00000008376,CREDIT     ORIG YA,1.0,356.1,DR,3.6,
2,DMC                          CLEARING CYCLE 004 - ACKNOWLEDGEMENT                              PAGE NO:         1,02/20/25,INTERREGIONAL,060101,002/250219/00000008376/00000,00000008376,CREDIT     ORIG YH,1.0,0.46,DR,0.0,
2,DMC                          CLEARING CYCLE 004 - ACKNOWLEDGEMENT                              PAGE NO:         1,02/20/25,INTERREGIONAL,060101,002/250219/00000008376/00000,00000008376,FIRST PRES.  TOTAL                    2,203.0,13990.98,CR,194.89,
2,DMC                          CLEARING CYCLE 004 - ACKNOWLEDGEMENT                              PAGE NO:         1,02/20/25,INTERREGIONAL,060101,002/250219/00000008376/00000,00000008376,BUSINESS SERVICE ID SUBTOTAL          2,203.0,13990.98,CR,194.89,
4,DMC                          CLEARING CYCLE 004 - ACKNOWLEDGEMENT                              PAGE NO:         1,02/20/25,INTERREGIONAL,060201,002/250219/00000008376/00000,00000008376,FIRST PRES.  PURCHASE   ORIG YA,1.0,1574.4,CR,25.6,
