Report ID,Reporting For,Rollup To,Funds Xfer Entity,Proc Date,Report Date,Settlement Currency,Clearing Currency,Acq/Issuer,Txn Type,Rate Table ID,Count,Clearing Amount,Interchange Credit,Interchange Debit,Original Sale
VSS-120,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,ORIGINAL SALE,A1114,15,-131491.98,986.57,0.0,False
VSS-120,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,ORIGINAL SALE,A1115,66,-1081613.85,8093.35,0.0,False
VSS-120,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,ORIGINAL SALE,A1116,65,-645969.97,5000.1,0.0,False
VSS-120,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,TOTAL ORIGINAL SALE,,146,-1859075.8,14080.02,0.0,True
VSS-120,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,TOTAL PURCHASE,,146,-1859075.8,14080.02,0.0,False
VSS-120,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,"MERCHANDISE CREDIT                                                                                                                
    ORIGINAL",A1116,2,4335.25,33.64,0.0,False
VSS-120,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,TOTAL MERCHANDISE CREDIT,,2,4335.25,33.64,0.0,False
VSS-120,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,ORIGINAL WITHDRAWAL,A1115,3,-24084.87,180.22,0.0,False
VSS-120,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,ORIGINAL WITHDRAWAL,A1116,1,-1918.88,14.4,0.0,False
VSS-120,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,TOTAL ORIGINAL WITHDRAWAL,,4,-26003.75,194.62,0.0,False
VSS-120,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,TOTAL ATM CASH,,4,-26003.75,194.62,0.0,False
VSS-120,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,"ORIGINAL CREDIT                                                                                                                   
    ORIGINAL",A1116,3,2837.07,21.93,0.0,False
